POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
219-41070,-,0,Green,SS,N,N,SFMTA,ON,0,4107,19TH ST,985000,Area 3, ,"(37.759219, -122.435242)"
352-04190,-,0,Yellow,SS,N,N,SFMTA,ON,0,419,CASTRO ST,3790000,Area 3, ,"(37.761819, -122.434984)"
352-04220,-,0,Grey,SS,N,N,SFMTA,ON,0,422,CASTRO ST,3790000,Area 3, ,"(37.76182, -122.435187)"
831-02120,-,0,Grey,SS,Y,Y,PORT,ON,0,212,EMBARCADERO SOUTH,12551102,Port 7, ,"(37.791841, -122.391106)"
106-03150,-,0,Green,SS,N,N,SFMTA,ON,0,315,06TH AVE,316000,Area 3, ,"(37.782445, -122.464457)"
360-18120,-,0,Grey,SS,N,N,SFMTA,ON,0,1812,CLEMENT ST,4169000,Area 3, ,"(37.782362, -122.478833)"
122-03930,-,0,Grey,SS,N,N,SFMTA,ON,0,393,22ND AVE,1134000,Area 3, ,"(37.780538, -122.481611)"
367-01050,-,0,Grey,SS,N,N,SFMTA,ON,0,105,COLLINGWOOD ST,4270000,Area 3, ,"(37.760614, -122.43604)"
831-07280,831-07004,28,Grey,MS,N,Y,PORT,ON,0,728,KING ST,7831101,Port 9, ,"(37.780991, -122.388652)"
123-03980,-,0,Grey,SS,N,N,SFMTA,ON,0,398,23RD AVE,1213000,Area 3, ,"(37.780439, -122.482543)"
125-04940,-,0,Grey,SS,N,N,SFMTA,ON,0,494,25TH AVE,1375000,Area 3, ,"(37.780449, -122.484673)"
127-05040,-,0,Grey,SS,N,N,SFMTA,ON,0,504,27TH AVE,1547000,Area 3, ,"(37.779763, -122.486789)"
128-05060,-,0,Grey,SS,N,N,SFMTA,ON,0,506,28TH AVE,1579000,Area 3, ,"(37.779667, -122.487855)"
116-03940,-,0,Grey,SS,N,N,SFMTA,ON,0,394,16TH AVE,672000,Area 3, ,"(37.780866, -122.475051)"
355-02060,-,0,Grey,SS,N,N,SFMTA,ON,0,206,CHURCH ST,4010000,Area 3, ,"(37.767078, -122.429018)"
700-02250,-,0,Black,SS,N,N,SFMTA,ON,0,225,VALENCIA ST,13055000,MC3, ,"(37.769211, -122.422194)"
214-02020,-,0,Grey,SS,N,N,SFMTA,ON,0,202,14TH ST,582000,Area 3, ,"(37.76845, -122.417965)"
864-04720,864-04004,72,Grey,MS,N,Y,PORT,ON,0,472,SPEAR ST,12048000,Port 8, ,"(37.787997, -122.388501)"
119-04080,-,0,Green,SS,N,N,SFMTA,ON,0,408,19TH AVE,905000,Area 3, ,"(37.780078, -122.478212)"
831-02380,-,0,Grey,SS,Y,Y,PORT,ON,0,238,EMBARCADERO SOUTH,12551102,Port 7, ,"(37.791152, -122.390704)"
831-03290,-,0,Grey,SS,Y,Y,PORT,ON,0,329,EMBARCADERO SOUTH,12550202,Port 7, ,"(37.790427, -122.389191)"
360-04270,-,0,Yellow,SS,N,Y,SFMTA,ON,0,427,CLEMENT ST,4154000,Area 3, ,"(37.782891, -122.464049)"
321-32150,-,0,Grey,SS,N,N,SFMTA,ON,0,3215,BALBOA ST,2678000,Area 3, ,"(37.775817, -122.493597)"
818-01920,818-01006,92,Grey,MS,N,Y,PORT,ON,0,192,BRANNAN ST,3071000,Port 10, ,"(37.783784, -122.389778)"
830-05560,-,0,Black,SS,Y,N,PORT,ON,0,556,EMBARCADERO NORTH,12556102,PortMC1, ,"(37.80091, -122.399398)"
350-32330,-,0,Grey,SS,N,N,SFMTA,ON,0,3233,CALIFORNIA ST,3566000,Area 3, ,"(37.787026, -122.44802)"
321-36160,-,0,Grey,SS,N,N,SFMTA,ON,0,3616,BALBOA ST,2682000,Area 3, ,"(37.775763, -122.497782)"
830-06660,-,0,Grey,SS,Y,N,PORT,ON,0,666,EMBARCADERO NORTH,12556102,Port 3, ,"(37.802715, -122.400993)"
830-06720,-,0,Grey,SS,Y,N,PORT,ON,0,672,EMBARCADERO NORTH,12556102,Port 3, ,"(37.802977, -122.401229)"
831-04130,831-04001,13,Grey,MS,N,Y,PORT,ON,0,413,EMBARCADERO SOUTH,12549201,Port 7, ,"(37.789282, -122.388024)"
831-04430,831-04003,43,Grey,MS,N,Y,PORT,ON,0,443,EMBARCADERO SOUTH,12549201,Port 7, ,"(37.788418, -122.387726)"
321-37110,-,0,Yellow,SS,N,N,SFMTA,ON,0,3711,BALBOA ST,2683000,Area 3, ,"(37.775576, -122.498868)"
121-17550,-,0,Grey,SS,N,N,SFMTA,ON,0,1755,21ST AVE,1084000,Area 3, ,"(37.754286, -122.478695)"
122-18040,-,0,Grey,SS,N,N,SFMTA,ON,0,1804,22ND AVE,1145000,Area 3, ,"(37.753956, -122.479608)"
105-03970,-,0,Grey,SS,N,N,SFMTA,ON,0,397,05TH AVE,279000,Area 3, ,"(37.781285, -122.463297)"
384-06130,-,0,Grey,SS,N,N,SFMTA,ON,0,613,DIVISADERO ST,4803101,Area 3, ,"(37.775382, -122.437988)"
612-24300,-,0,Grey,SS,N,N,SFMTA,ON,0,2430,POLK ST,10580000,Area 3, ,"(37.799425, -122.422393)"
503-01950,-,0,Grey,SS,N,N,SFMTA,ON,0,195,JORDAN AVE,7617000,Area 3, ,"(37.781642, -122.456733)"
612-13010,-,0,Grey,SS,N,N,SFMTA,ON,0,1301,POLK ST,10567000,Area 3, ,"(37.788804, -122.420407)"
384-07090,-,0,Grey,SS,N,N,SFMTA,ON,0,709,DIVISADERO ST,4804101,Area 3, ,"(37.776229, -122.438164)"
500-15310,-,0,Grey,SS,N,N,SFMTA,ON,0,1531,JACKSON ST,7395000,Area 3, ,"(37.794169, -122.420781)"
500-15370,-,0,Grey,SS,N,N,SFMTA,ON,0,1537,JACKSON ST,7395000,Area 3, ,"(37.794141, -122.421007)"
350-24170,-,0,Yellow,SS,Y,Y,SFMTA,ON,0,2417,CALIFORNIA ST,3558000,Area 5,Fillmore,"(37.78875, -122.434398)"
354-22090,-,0,Grey,SS,Y,Y,SFMTA,ON,0,2209,CHESTNUT ST,3980000,Area 5,Marina,"(37.800286, -122.439935)"
354-23070,-,0,Yellow,SS,Y,Y,SFMTA,ON,0,2307,CHESTNUT ST,3982000,Area 5,Marina,"(37.800088, -122.441493)"
326-08060,-,0,Grey,SS,Y,Y,SFMTA,ON,0,806,BEACH ST,2847000,Area 5,Fisherman's Wharf,"(37.806454, -122.422544)"
326-02060,-,0,Grey,SS,Y,Y,SFMTA,ON,0,206,BEACH ST,2840000,Area 5,Fisherman's Wharf,"(37.8077, -122.412699)"
562-25180,-,0,Grey,SS,Y,Y,SFMTA,ON,0,2518,MASON ST,8839000,Area 5,Fisherman's Wharf,"(37.80716, -122.413844)"
363-13510,-,0,Grey,SS,Y,Y,SFMTA,ON,0,1351,COLUMBUS AVE,4308000,Area 5,Fisherman's Wharf,"(37.806615, -122.419494)"
542-30240,-,0,Grey,SS,Y,Y,SFMTA,ON,0,3024,LARKIN ST,8157000,Area 5,Fisherman's Wharf,"(37.806303, -122.422101)"
616-24230,-,0,Grey,SS,Y,Y,SFMTA,ON,0,2423,POWELL ST,10705000,Area 5,Fisherman's Wharf,"(37.807507, -122.412366)"
681-26040,-,0,Grey,SS,Y,Y,SFMTA,ON,0,2604,TAYLOR ST,12464000,Area 5,Fisherman's Wharf,"(37.806564, -122.415406)"
681-26060,-,0,Grey,SS,Y,Y,SFMTA,ON,0,2606,TAYLOR ST,12464000,Area 5,Fisherman's Wharf,"(37.806626, -122.415419)"
681-27080,-,0,Grey,SS,Y,Y,SFMTA,ON,0,2708,TAYLOR ST,12465000,Area 5,Fisherman's Wharf,"(37.807603, -122.415615)"
325-03210,-,0,Grey,SS,Y,Y,SFMTA,ON,0,321,BAY ST,2775000,Area 5,Fisherman's Wharf,"(37.805656, -122.412729)"
325-05320,-,0,Grey,SS,Y,Y,SFMTA,ON,0,532,BAY ST,2777000,Area 5,Fisherman's Wharf,"(37.805342, -122.416439)"
562-24100,-,0,Grey,SS,Y,Y,SFMTA,ON,0,2410,MASON ST,8838000,Area 5,Fisherman's Wharf,"(37.806018, -122.413608)"
681-25120,-,0,Grey,SS,Y,Y,SFMTA,ON,0,2512,TAYLOR ST,12463000,Area 5,Fisherman's Wharf,"(37.805833, -122.415256)"
330-03300,-,0,Black,SS,Y,N,SFMTA,ON,0,330,BRANNAN ST,3075000,MC5,South Embarcadero,"(37.781456, -122.392718)"
350-04360,-,0,Yellow,SS,N,N,SFMTA,ON,0,436,CALIFORNIA ST,3529000,Area 5,Downtown,"(37.792967, -122.402335)"
593-00031,593-00030,1,Black,MS,N,N,SFMTA,ON,0,3,OFARRELL ST,9720000,MC5,Downtown,"(37.786743, -122.405087)"
863-15260,863-15004,26,Grey,MS,N,N,PORT,ON,0,1526,SANSOME ST,11561000,Port 4, ,"(37.804789, -122.403419)"
111-03940,-,0,Grey,SS,N,N,SFMTA,ON,0,394,11TH AVE,495000,Area 3, ,"(37.781148, -122.469589)"
107-03240,-,0,Green,SS,N,N,SFMTA,ON,0,324,07TH AVE,352000,Area 3, ,"(37.782202, -122.465373)"
103-13820,-,0,Grey,SS,N,N,SFMTA,ON,0,1382,03RD AVE,162000,Area 3, ,"(37.76311, -122.459734)"
382-00060,-,0,Grey,SS,N,N,SFMTA,ON,0,6,DESMOND ST,4720000,Area 3, ,"(37.711389, -122.404966)"
109-02920,-,0,Grey,SS,N,Y,SFMTA,ON,0,292,09TH AVE,424000,Area 3, ,"(37.783109, -122.467582)"
109-12260,-,0,Grey,SS,N,N,SFMTA,ON,0,1226,09TH AVE,431000,Area 3, ,"(37.765197, -122.466322)"
