IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
140837620,NON-CRIMINAL,LOST PROPERTY,Tuesday,09/30/2014,06:45,INGLESIDE,NONE,MISSION ST / ONONDAGA AV,-122.437461502349,37.7211650807711,"(37.7211650807711, -122.437461502349)"
140836860,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,09/30/2014,17:30,MISSION,NONE,100.0 Block of CASELLI AV,-122.442294897067,37.7597249889429,"(37.7597249889429, -122.442294897067)"
146204190,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,09/30/2014,21:15,SOUTHERN,NONE,300.0 Block of 2ND ST,-122.396724937967,37.7855096562344,"(37.7855096562344, -122.396724937967)"
140823867,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,09/30/2014,09:35,CENTRAL,PSYCHOPATHIC CASE,POWELL ST / JEFFERSON ST,-122.412527239682,37.8086250595764,"(37.8086250595764, -122.412527239682)"
140826269,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,09/30/2014,23:00,BAYVIEW,NONE,BAY SHORE BL / VISITACION AV,-122.404226078396,37.7104088782697,"(37.7104088782697, -122.404226078396)"
140823390,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,09/30/2014,09:07,SOUTHERN,"ARREST, CITED",FOLSOM ST / 7TH ST,-122.407844136792,37.7767462195685,"(37.7767462195685, -122.407844136792)"
140823992,MISSING PERSON,MISSING ADULT,Tuesday,09/30/2014,10:50,NORTHERN,NONE,1500.0 Block of SUTTER ST,-122.425881580664,37.787058630919,"(37.787058630919, -122.425881580664)"
140823732,OTHER OFFENSES,PROBATION VIOLATION,Tuesday,09/30/2014,09:48,TENDERLOIN,"ARREST, BOOKED",LEAVENWORTH ST / TURK ST,-122.414056291891,37.7827931071303,"(37.7827931071303, -122.414056291891)"
146207166,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,09/30/2014,20:00,NORTHERN,NONE,CHESTNUT ST / VANNESS AV,-122.424733311866,37.8022789218414,"(37.8022789218414, -122.424733311866)"
140823942,OTHER OFFENSES,RESISTING ARREST,Tuesday,09/30/2014,11:28,MISSION,"ARREST, CITED",18TH ST / NOE ST,-122.432795347224,37.761020169738,"(37.761020169738, -122.432795347224)"
149012126,FRAUD,FALSE ID TO PEACE OFFICER,Tuesday,09/30/2014,18:59,TARAVAL,NONE,500.0 Block of BUCKINGHAM WY,-122.478371487132,37.7300878473991,"(37.7300878473991, -122.478371487132)"
140823798,OTHER OFFENSES,PAROLE VIOLATION,Tuesday,09/30/2014,11:00,CENTRAL,"ARREST, BOOKED",500.0 Block of GEARY ST,-122.411537983271,37.7869723412596,"(37.7869723412596, -122.411537983271)"
140823180,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,09/30/2014,07:35,CENTRAL,"ARREST, CITED",LEAVENWORTH ST / GEARY ST,-122.414809966357,37.7865194111911,"(37.7865194111911, -122.414809966357)"
140824859,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Tuesday,09/30/2014,16:30,SOUTHERN,"ARREST, BOOKED",900.0 Block of MARKET ST,-122.408970177724,37.7833220860719,"(37.7833220860719, -122.408970177724)"
140826708,ASSAULT,BATTERY,Tuesday,09/30/2014,11:05,MISSION,"ARREST, CITED",CAPP ST / 20TH ST,-122.41796448376,37.7586968166786,"(37.7586968166786, -122.41796448376)"
140823986,ASSAULT,BATTERY,Tuesday,09/30/2014,11:30,INGLESIDE,NONE,100.0 Block of GATES ST,-122.414010649162,37.7409381076735,"(37.7409381076735, -122.414010649162)"
140824025,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,09/30/2014,11:57,INGLESIDE,"ARREST, CITED",LELAND AV / DELTA ST,-122.409489340425,37.7131282924831,"(37.7131282924831, -122.409489340425)"
140825954,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Tuesday,09/30/2014,23:07,PARK,"ARREST, BOOKED",400.0 Block of DIVISADERO ST,-122.437512159812,37.7733614274019,"(37.7733614274019, -122.437512159812)"
140825625,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,09/30/2014,20:12,SOUTHERN,"ARREST, CITED",MARKET ST / 6TH ST,-122.41029351969,37.7822305870333,"(37.7822305870333, -122.41029351969)"
146202401,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,09/30/2014,19:00,NORTHERN,NONE,FILLMORE ST / HAIGHT ST,-122.430436523474,37.7721069661966,"(37.7721069661966, -122.430436523474)"
140824871,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,09/30/2014,04:45,NORTHERN,"ARREST, CITED",BROADWAY ST / VANNESS AV,-122.423413057205,37.7957371092757,"(37.7957371092757, -122.423413057205)"
140824752,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,09/30/2014,16:14,TENDERLOIN,"ARREST, BOOKED",EDDY ST / MASON ST,-122.409313111431,37.7843478513448,"(37.7843478513448, -122.409313111431)"
140834585,RUNAWAY,RUNAWAY,Tuesday,09/30/2014,07:15,NORTHERN,LOCATED,1600.0 Block of WEBSTER ST,-122.431589444896,37.7857768978213,"(37.7857768978213, -122.431589444896)"
140827182,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,09/30/2014,22:00,TARAVAL,NONE,1800.0 Block of QUINTARA ST,-122.484693119652,37.7483749712637,"(37.7483749712637, -122.484693119652)"
140824520,ROBBERY,"ROBBERY, BODILY FORCE",Tuesday,09/30/2014,14:00,SOUTHERN,NONE,0.0 Block of UNITEDNATIONS PZ,-122.414965642852,37.7798171172036,"(37.7798171172036, -122.414965642852)"
140824837,VEHICLE THEFT,STOLEN TRUCK,Tuesday,09/30/2014,15:00,RICHMOND,UNFOUNDED,24TH AV / ANZA ST,-122.483525612612,37.7782138621321,"(37.7782138621321, -122.483525612612)"
140826667,MISSING PERSON,FOUND PERSON,Tuesday,09/30/2014,15:00,BAYVIEW,LOCATED,300.0 Block of BRIDGEVIEW DR,-122.398845629456,37.7323089114211,"(37.7323089114211, -122.398845629456)"
140825368,TRESPASS,TRESPASSING,Tuesday,09/30/2014,17:55,MISSION,NONE,100.0 Block of EUREKA ST,-122.438096510491,37.7593717936459,"(37.7593717936459, -122.438096510491)"
140824401,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,09/30/2014,12:16,TENDERLOIN,NONE,500.0 Block of LEAVENWORTH ST,-122.414580884071,37.7856024384456,"(37.7856024384456, -122.414580884071)"
146203459,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,09/30/2014,21:00,SOUTHERN,NONE,MCCOPPIN ST / JESSIE ST,-122.421113134261,37.7716796786563,"(37.7716796786563, -122.421113134261)"
140826253,BURGLARY,SAFE BURGLARY OF A HOTEL,Tuesday,09/30/2014,10:00,NORTHERN,NONE,1400.0 Block of LOMBARD ST,-122.425385696673,37.8012311436573,"(37.8012311436573, -122.425385696673)"
140834585,MISSING PERSON,MISSING JUVENILE,Tuesday,09/30/2014,07:15,NORTHERN,LOCATED,1600.0 Block of WEBSTER ST,-122.431589444896,37.7857768978213,"(37.7857768978213, -122.431589444896)"
146206629,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,09/30/2014,13:50,TENDERLOIN,NONE,GEARY ST / STOCKTON ST,-122.406592269796,37.7875673013351,"(37.7875673013351, -122.406592269796)"
146202473,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,09/30/2014,17:00,CENTRAL,NONE,900.0 Block of CHESTNUT ST,-122.418717648474,37.8030968732276,"(37.8030968732276, -122.418717648474)"
140825493,NON-CRIMINAL,AIDED CASE,Tuesday,09/30/2014,18:44,RICHMOND,PSYCHOPATHIC CASE,300.0 Block of 30TH AV,-122.490280739358,37.7830593436872,"(37.7830593436872, -122.490280739358)"
140825330,MISSING PERSON,FOUND PERSON,Tuesday,09/30/2014,17:00,RICHMOND,NONE,1700.0 Block of BAKER ST,-122.443461690538,37.7868819675394,"(37.7868819675394, -122.443461690538)"
140828221,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Tuesday,09/30/2014,15:30,BAYVIEW,NONE,6500.0 Block of 3RD ST,-122.397049727461,37.7194234524375,"(37.7194234524375, -122.397049727461)"
140826015,WARRANTS,WARRANT ARREST,Tuesday,09/30/2014,23:30,MISSION,"ARREST, BOOKED",400.0 Block of CASTRO ST,-122.434970957937,37.7609881772891,"(37.7609881772891, -122.434970957937)"
140824655,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,09/30/2014,01:30,SOUTHERN,NONE,9TH ST / MISSION ST,-122.414714295579,37.7762310405055,"(37.7762310405055, -122.414714295579)"
140830248,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,09/30/2014,13:00,INGLESIDE,NONE,OGDEN AV / ANDERSON ST,-122.415448681024,37.7360014188998,"(37.7360014188998, -122.415448681024)"
140833026,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,09/30/2014,10:00,MISSION,NONE,1000.0 Block of FLORIDA ST,-122.410303817405,37.7547437827976,"(37.7547437827976, -122.410303817405)"
140828588,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,09/30/2014,17:45,TARAVAL,NONE,300.0 Block of EUCALYPTUS DR,-122.476268967603,37.7310731174748,"(37.7310731174748, -122.476268967603)"
140823055,ROBBERY,"ROBBERY, ARMED WITH A GUN",Tuesday,09/30/2014,01:48,BAYVIEW,NONE,REVERE AV / SELBY ST,-122.401373325947,37.7380247131615,"(37.7380247131615, -122.401373325947)"
140824592,OTHER OFFENSES,RESISTING ARREST,Tuesday,09/30/2014,15:18,SOUTHERN,"ARREST, CITED",4TH ST / MISSION ST,-122.404270179486,37.7844788539041,"(37.7844788539041, -122.404270179486)"
140823497,WARRANTS,WARRANT ARREST,Tuesday,09/30/2014,09:18,PARK,"ARREST, BOOKED",1800.0 Block of HAIGHT ST,-122.452622752318,37.7693006985471,"(37.7693006985471, -122.452622752318)"
146204639,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,09/30/2014,19:34,CENTRAL,NONE,BROADWAY ST / FRONT ST,-122.399875723567,37.7987292250849,"(37.7987292250849, -122.399875723567)"
140827154,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,09/30/2014,22:30,SOUTHERN,NONE,0.0 Block of BAYSIDEVILLAGE PL,-122.390266679989,37.7840629965943,"(37.7840629965943, -122.390266679989)"
140826112,MISSING PERSON,MISSING ADULT,Tuesday,09/30/2014,14:00,INGLESIDE,LOCATED,200.0 Block of EDINBURGH ST,-122.428857622836,37.7253360178977,"(37.7253360178977, -122.428857622836)"
140825788,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,09/30/2014,13:00,SOUTHERN,NONE,1300.0 Block of MISSION ST,-122.415934549597,37.7753009295097,"(37.7753009295097, -122.415934549597)"
